1.collectionobject.catalogNumber,"1,10.collectingevent.startDateNumericYear","1,10.collectingevent.startDate","1,9-determinations.collectionobject.determinations","1,10,30-collectors.collectingevent.collectors","1,10,30-collectors,5.agent.abbreviation","1,9-determinations,5-determiner.determination.determiner","1,9-determinations.determination.determinedDate","1,10,2.locality.localityName","1,10,2.collectingevent.locality","1,10,2,3.locality.geography","1,111-collectionobjectattachments,41.attachment.attachmentLocation"
715906,1937,16/07/1937,Taraxacum croceum (current) ,"Grøntved,, Johs.",,,,"Tunnuarmiut, i Krat.","Tunnuarmiut, i Krat.; Greenland",Greenland,
715909,1937,17/08/1937,Taraxacum croceum (current) ,"Grøntved,, Johs.",,,,Sletten nær Ilua Fjord.,Sletten nær Ilua Fjord.; Greenland,Greenland,
715914,1937,09/07/1937,Taraxacum croceum (current) ,"Grøntved,, Johs.",,,,"Narssaq, Knausen, 100 m.","Narssaq, Knausen, 100 m.; Greenland",Greenland,
715915,1937,09/07/1937,Taraxacum (current) ,"Grøntved,, Johs.",,,,"Narssaq, Knausen, 100 m.","Narssaq, Knausen, 100 m.; Greenland",Greenland,
715921,1894,26/09/1894,Taraxacum officinale (current) ,"Jessen,, A.",,,,Fra Nordboruinetne ved Karmet i Nordre Sermilik.,Fra Nordboruinetne ved Karmet i Nordre Sermilik.; Greenland,Greenland,
715923,1925,23/07/1925,Taraxacum croceum (current) ,"Porsild,, A.",,,,"Syd-Grønl. Igdlorssuit, Ilua-Fjords Qingua.","Syd-Grønl. Igdlorssuit, Ilua-Fjords Qingua.; Greenland",Greenland,
715924,1925,23/07/1925,Taraxacum croceum (current) ,"Porsild,, A.",,,,"Syd-Grønl. Igdlorssuit, Ilua-Fjords Qingua.","Syd-Grønl. Igdlorssuit, Ilua-Fjords Qingua.; Greenland",Greenland,
715925,1925,10/08/1925,Taraxacum croceum (current) ,"Porsild,, A.",,,,"Syd-Grønl. Qagssiarssuk (Brattahlid), Tunugdliarfik-Fjord.","Syd-Grønl. Qagssiarssuk (Brattahlid), Tunugdliarfik-Fjord.; Greenland",Greenland,
715926,1925,10/08/1925,Taraxacum croceum (current) ,"Porsild,, A.",,,,"Syd-Grønl. Qagssiarssuk (Brattahlid), Tunugdliarfik-Fjord.","Syd-Grønl. Qagssiarssuk (Brattahlid), Tunugdliarfik-Fjord.; Greenland",Greenland,
715927,1925,05/08/1925,Taraxacum croceum (current) ,"Porsild,, A.",,,,"Syd-Grønl., Eqaluit, Igaliko-Fjord.","Syd-Grønl., Eqaluit, Igaliko-Fjord.; Greenland; 60.7833300000",Greenland,
715928,1925,05/08/1925,Taraxacum croceum (current) ,"Porsild,, A.",,,,"Syd-Grønl., Eqaluit, Igaliko-Fjord.","Syd-Grønl., Eqaluit, Igaliko-Fjord.; Greenland; 60.7833300000",Greenland,
715937,1926,16/07/1926,Taraxacum croceum (current) ,"Jessen,, Knud",,,,Groenl. occident.; Julianehaab.,Groenl. occident.; Julianehaab.; Greenland,Greenland,
715938,1925,27/08/1925,Taraxacum croceum (current) ,"Christensen,, K.N.",,,,"Groenl. orient, Lindenows Fjord, f Elvleje ved Narssaq.","Groenl. orient, Lindenows Fjord, f Elvleje ved Narssaq.; Greenland",Greenland,
715939,1932,12/09/1932,Taraxacum croceum (current) ,"Bøgvad,, Rich.",,,,Sydøst-Grønland. Nordkysten ved Lindenows Fjord Bund.,Sydøst-Grønland. Nordkysten ved Lindenows Fjord Bund.; Greenland,Greenland,
715940,1932,01/10/1932,Taraxacum croceum (current) ,"Bøgvad,, Rich.",,,,"Sydøst-Grønland. Qaqarssuaq Sund, overfor Augpalagtok.","Sydøst-Grønland. Qaqarssuaq Sund, overfor Augpalagtok.; Greenland",Greenland,
715942,1932,31/08/1932,Taraxacum croceum (current) ,"Bøgvad,, Rich.",,,,"Sydøst-Grønland. Danell Fjord, Sydside nær Bund.","Sydøst-Grønland. Danell Fjord, Sydside nær Bund.; Greenland",Greenland,
715943,1931,1931,Taraxacum croceum (current) ,"Prikket,, J.",,,,Tininnstok.,Tininnstok.; Greenland,Greenland,
715991,1902,06/07/1902,Taraxacum croceum (current) ,"Meldorf,, Gustav",,,,"Julianehaab (ved Lille Varde"").""","Julianehaab (ved Lille Varde"").""; Greenland",Greenland,
715992,1899,08/07/1899,Taraxacum croceum (current) ,"Meldorf,, Gustav",,,,Julianehaab (ved Elven).,Julianehaab (ved Elven).; Greenland,Greenland,
715993,1899,08/07/1899,Taraxacum officinale (current) ,"Meldorf,, Gustav",,,,Julianehaab (ved Elven).,Julianehaab (ved Elven).; Greenland,Greenland,
716038,1891,05/08/1891,Taraxacum acromaurum (current) ,"Hartz,, N.",,,,Groenlandiam orientalem. I Urtemark. Jameson Land.,Groenlandiam orientalem. I Urtemark. Jameson Land.; Greenland,Greenland,
716039,1929,1929,Taraxacum acromaurum (current) ,"Petersen,, Alvin",,,,Groenl. orient. Scoresby Sound. Jameson Land.,Groenl. orient. Scoresby Sound. Jameson Land.; Greenland,Greenland,
716101,1906,25/08/1906,Taraxacum arcticum (current) ,"Lundager,, Andr.",,,,Groenlandia bor.-orient.: Hvalrosodde.,Groenlandia bor.-orient.: Hvalrosodde.; Greenland,Greenland,
716102,1939,01/08/1939,Taraxacum arcticum (current) ,"Gelting,, Paul",,,,Germania Land: Mørkefjord.,Germania Land: Mørkefjord.; Greenland,Greenland,
716104,1905,28/07/1905,Taraxacum arcticum (current) ,"Koefoed,, E.",,,,"Groenl. orient., Cap Saint Jacques.","Groenl. orient., Cap Saint Jacques.; Greenland",Greenland,
716105,1908,11/07/1908,Taraxacum arcticum f. albiflora (current) ,"Lundager,, Andr.",,,,"Groenlandia bor.-orient., Danmarks Havn.","Groenlandia bor.-orient., Danmarks Havn.; Greenland",Greenland,
716109,1907,10/07/1907,Taraxacum arcticum (current) ,"Lundager,, Andr.",,,,"Groenl. bor.-orient., Vestre Havnenæs.","Groenl. bor.-orient., Vestre Havnenæs.; Greenland",Greenland,
716149,1937,17/08/1937,Matricaria inodora var. L. (current) ,"Polunin,, Nicholas",,,,Julianehaab Distrikt. Head of Tunugdliarfik Fjord.,Julianehaab Distrikt. Head of Tunugdliarfik Fjord.; Greenland,Greenland,
716150,1931,08/1931,Tripleurospermum maritimum (current) ,A.H.C.,,,,"Radiofjæld, Julianehåb.","Radiofjæld, Julianehåb.; Greenland",Greenland,
716152,1937,16/07/1937,Tripleurospermum maritimum (current) ,"Grøntved,, Johs.",,,,"Tunnuarmiut, ved Teltpladsen.","Tunnuarmiut, ved Teltpladsen.; Greenland",Greenland,
716154,1888,17/07/1888,Tripleurospermum maritimum (current) ,"Rosenvinge,, L.",,,,Beboet Plads near Narssaq (N. f. Julianehaab).,Beboet Plads near Narssaq (N. f. Julianehaab).; Greenland,Greenland,
716155,1937,01/09/1937,Tripleurospermum maritimum (current) ,"Grøntved,, Johs.",,,,"Julianehaab, ved Radiostationen.","Julianehaab, ved Radiostationen.; Greenland",Greenland,
